"country","id","immigration","emmigration","netmigration"
"Afghanistan","4","382365","4843117","-4460752"
"Albania","8","57616","1122910","-1065294"
"Algeria","12","242391","1763771","-1521380"
"AmericanSamoa","16","23216","2035","21181"
"Andorra","20","42082","7571","34511"
"Angola","24","106845","555403","-448558"
"Anguilla","660","5470","2406","3064"
"AntiguaandBarbuda","28","28083","65489","-37406"
"Argentina","32","2086302","940273","1146029"
"Armenia","51","191199","937299","-746100"
"Aruba","533","36114","16724","19390"
"Australia","36","6763663","526579","6237084"
"Austria","40","1492374","575828","916546"
"Azerbaijan","31","264241","1146769","-882528"
"Bahamas","44","59306","40095","19211"
"Bahrain","48","704137","55964","648173"
"Bangladesh","50","1422805","7205410","-5782605"
"Barbados","52","34475","98464","-63989"
"Belarus","112","1082905","1485323","-402418"
"Belgium","56","1387940","530990","856950"
"Belize","84","53860","59884","-6024"
"Benin","204","245399","615852","-370453"
"Bermuda","60","19126","17046","2080"
"Bhutan","64","51106","44190","6916"
"Bolivia(PlurinationalStateof)","68","142989","799605","-656616"
"Bonaire,"SintEustatiusandSaba","535","13002","8920","4082"
"BosniaandHerzegovina","70","34803","1650772","-1615969"
"Botswana","72","160644","58346","102298"
"Brazil","76","713568","1544024","-830456"
"BritishVirginIslands","92","17308","4624","12684"
"BruneiDarussalam","96","102733","46237","56496"
"Bulgaria","100","102113","1176390","-1074277"
"BurkinaFaso","854","704676","1453378","-748702"
"Burundi","108","286810","284187","2623"
"CaboVerde","132","14924","165732","-150808"
"Cambodia","116","73963","1187142","-1113179"
"Cameroon","120","381984","328604","53380"
"Canada","124","7835502","1286176","6549326"
"CaymanIslands","136","23726","1569","22157"
"CentralAfricanRepublic","140","81598","440745","-359147"
"Chad","148","516968","208137","308831"
"ChannelIslands","830","82307","20335","61972"
"Chile","152","469436","612409","-142973"
"China","156","978046","9546065","-8568019"
"China,"HongKongSpecialAdministrativeRegion","344","2838665","1041264","1797401"
"China,"MacaoSpecialAdministrativeRegion","446","342703","140395","202308"
"Colombia","170","133134","2638852","-2505718"
"Comoros","174","12555","116516","-103961"
"Congo","178","392996","220501","172495"
"CookIslands","184","4152","21505","-17353"
"CostaRica","188","421697","133185","288512"
"Côted'Ivoire","384","2175399","850105","1325294"
"Croatia","191","576883","865147","-288264"
"Cuba","192","13336","1426380","-1413044"
"Curaçao","531","37611","69893","-32282"
"Cyprus","196","196167","177185","18982"
"CzechRepublic","203","405093","932582","-527489"
"DemocraticPeople'sRepublicofKorea","408","48458","112783","-64325"
"DemocraticRepublicoftheCongo","180","545694","1403757","-858063"
"Denmark","208","572520","250675","321845"
"Djibouti","262","112351","15927","96424"
"Dominica","212","6720","69817","-63097"
"DominicanRepublic","214","415564","1304493","-888929"
"Ecuador","218","387513","1101923","-714410"
"Egypt","818","491643","3268970","-2777327"
"ElSalvador","222","42045","1436158","-1394113"
"EquatorialGuinea","226","10825","81029","-70204"
"Eritrea","232","15941","499916","-483975"
"Estonia","233","202348","198042","4306"
"Ethiopia","231","1072949","753492","319457"
"FaeroeIslands","234","5517","14284","-8767"
"FalklandIslands(Malvinas)","238","1571","1124","447"
"Fiji","242","13751","204934","-191183"
"Finland","246","315881","295077","20804"
"France","250","7784418","2145975","5638443"
"FrenchGuiana","254","106108","4372","101736"
"FrenchPolynesia","258","30058","1337","28721"
"Gabon","266","268384","63209","205175"
"Gambia","270","192540","89639","102901"
"Georgia","268","168802","838430","-669628"
"Germany","276","12005690","4045411","7960279"
"Ghana","288","399471","801710","-402239"
"Gibraltar","292","11065","13065","-2000"
"Greece","300","1242514","871643","370871"
"Greenland","304","6009","17552","-11543"
"Grenada","308","7057","65812","-58755"
"Guadeloupe","312","98507","10610","87897"
"Guam","316","76089","2144","73945"
"Guatemala","320","76352","1017517","-941165"
"Guinea","324","228413","426941","-198528"
"Guinea-Bissau","624","22333","101828","-79495"
"Guyana","328","15384","460286","-444902"
"Haiti","332","39529","1195240","-1155711"
"HolySee","336","800","182","618"
"Honduras","340","28070","648520","-620450"
"Hungary","348","449632","595937","-146305"
"Iceland","352","37522","38496","-974"
"India","356","5240960","15575724","-10334764"
"Indonesia","360","328846","3876739","-3547893"
"Iran(IslamicRepublicof)","364","2726420","1123383","1603037"
"Iraq","368","353881","1479966","-1126085"
"Ireland","372","746260","882022","-135762"
"IsleofMan","833","45221","10957","34264"
"Israel","376","2011727","342585","1669142"
"Italy","380","5788875","2900924","2887951"
"Jamaica","388","23167","1067455","-1044288"
"Japan","392","2043877","797496","1246381"
"Jordan","400","3112026","699719","2412307"
"Kazakhstan","398","3546778","4075738","-528960"
"Kenya","404","1084357","455889","628468"
"Kiribati","296","3153","4717","-1564"
"Kuwait","414","2866136","187871","2678265"
"Kyrgyzstan","417","204382","760847","-556465"
"LaoPeople'sDemocraticRepublic","418","22244","1345075","-1322831"
"Latvia","428","263126","337678","-74552"
"Lebanon","422","1997776","798140","1199636"
"Lesotho","426","6572","363763","-357191"
"Liberia","430","113779","276630","-162851"
"Libya","434","771146","141623","629523"
"Liechtenstein","438","23493","3870","19623"
"Lithuania","440","136036","544120","-408084"
"Luxembourg","442","249325","61058","188267"
"Madagascar","450","32075","169984","-137909"
"Malawi","454","215158","302515","-87357"
"Malaysia","458","2514243","1835252","678991"
"Maldives","462","94086","2844","91242"
"Mali","466","363145","1005607","-642462"
"Malta","470","41442","103392","-61950"
"MarshallIslands","584","3284","6901","-3617"
"Martinique","474","61731","13618","48113"
"Mauritania","478","138162","119334","18828"
"Mauritius","480","28585","168255","-139670"
"Mayotte","175","76992","6602","70390"
"Mexico","484","1193155","12339062","-11145907"
"Micronesia(FederatedStatesof)","583","2756","19798","-17042"
"Monaco","492","21042","28626","-7584"
"Mongolia","496","17620","59266","-41646"
"Montenegro","499","82541","138356","-55815"
"Montserrat","500","1351","17744","-16393"
"Morocco","504","88511","2834641","-2746130"
"Mozambique","508","222928","713867","-490939"
"Myanmar","104","73308","2881797","-2808489"
"Namibia","516","93888","145852","-51964"
"Nauru","520","3178","2391","787"
"Nepal","524","518278","1629306","-1111028"
"Netherlands","528","1979486","981434","998052"
"NewCaledonia","540","64290","6330","57960"
"NewZealand","554","1039736","802335","237401"
"Nicaragua","558","40262","638958","-598696"
"Niger","562","189255","356793","-167538"
"Nigeria","566","1199115","1093644","105471"
"Niue","570","557","5355","-4798"
"NorthernMarianaIslands","580","21648","2649","18999"
"Norway","578","741813","193477","548336"
"Oman","512","1844978","21333","1823645"
"Pakistan","586","3628956","5935193","-2306237"
"Palau","585","5664","2552","3112"
"Panama","591","184710","142706","42004"
"PapuaNewGuinea","598","25782","4631","21151"
"Paraguay","600","156462","845373","-688911"
"Peru","604","90881","1409676","-1318795"
"Philippines","608","211862","5316320","-5104458"
"Poland","616","619403","4449789","-3830386"
"Portugal","620","837257","2306321","-1469064"
"PuertoRico","630","274972","1768384","-1493412"
"Qatar","634","1687640","25681","1661959"
"RepublicofKorea","410","1327324","2345840","-1018516"
"RepublicofMoldova","498","142904","888610","-745706"
"Réunion","638","127209","3028","124181"
"Romania","642","226943","3408118","-3181175"
"RussianFederation","643","11643276","10576766","1066510"
"Rwanda","646","441525","315866","125659"
"SaintHelena","654","604","3958","-3354"
"SaintKittsandNevis","659","7443","39132","-31689"
"SaintLucia","662","12771","55414","-42643"
"SaintPierreandMiquelon","666","986","435","551"
"SaintVincentandtheGrenadines","670","4577","60424","-55847"
"Samoa","882","4929","113139","-108210"
"SanMarino","674","4717","2303","2414"
"SaoTomeandPrincipe","678","2394","35833","-33439"
"SaudiArabia","682","10185945","270029","9915916"
"Senegal","686","263242","586870","-323628"
"Serbia","688","807441","964585","-157144"
"Seychelles","690","12791","11772","1019"
"SierraLeone","694","91213","145003","-53790"
"Singapore","702","2543638","313884","2229754"
"SintMaarten(Dutchpart)","534","27295","23811","3484"
"Slovakia","703","177190","341620","-164430"
"Slovenia","705","235966","140490","95476"
"SolomonIslands","90","2585","3833","-1248"
"Somalia","706","25291","1998764","-1973473"
"SouthAfrica","710","3142511","841120","2301391"
"SouthSudan","728","824122","634613","189509"
"Spain","724","5852953","1251004","4601949"
"SriLanka","144","38706","1637385","-1598679"
"StateofPalestine","275","255507","3551185","-3295678"
"Sudan","729","503477","1890861","-1387384"
"Suriname","740","46836","267800","-220964"
"Swaziland","748","31579","95671","-64092"
"Sweden","752","1639771","333428","1306343"
"Switzerland","756","2438702","664557","1774145"
"SyrianArabRepublic","760","875189","5011509","-4136320"
"Tajikistan","762","275059","589748","-314689"
"Thailand","764","3913258","854327","3058931"
"TheformerYugoslavRepublicofMacedonia","807","130730","516024","-385294"
"Timor-Leste","626","10834","37311","-26477"
"Togo","768","276844","446982","-170138"
"Tokelau","772","487","2255","-1768"
"Tonga","776","5731","56524","-50793"
"TrinidadandTobago","780","49883","363332","-313449"
"Tunisia","788","56701","651044","-594343"
"Turkey","792","2964916","3114471","-149555"
"Turkmenistan","795","196386","242948","-46562"
"TurksandCaicosIslands","796","11688","1878","9810"
"Tuvalu","798","141","3472","-3331"
"Uganda","800","749471","736017","13454"
"Ukraine","804","4834898","5825745","-990847"
"UnitedArabEmirates","784","8095126","136557","7958569"
"UnitedKingdomofGreatBritainandNorthernIreland","826","8543120","4917460","3625660"
"UnitedRepublicofTanzania","834","261222","294531","-33309"
"UnitedStatesofAmerica","840","46627102","3023657","43603445"
"UnitedStatesVirginIslands","850","56721","3407","53314"
"Uruguay","858","71799","346976","-275177"
"Uzbekistan","860","1170899","1991040","-820141"
"Vanuatu","548","3187","8583","-5396"
"Venezuela(BolivarianRepublicof)","862","1404448","606344","798104"
"VietNam","704","72793","2558678","-2485885"
"WallisandFutunaIslands","876","2849","7843","-4994"
"WesternSahara","732","5179","91034","-85855"
"Yemen","887","344131","1012889","-668758"
"Zambia","894","127915","238121","-110206"
"Zimbabwe","716","398866","856345","-457479"
